id,ProvinceORState,CountryOrRegion,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
160,Utah,US,2020-03-13T11:09:22,5,0,0,40.15,-111.8624
161,,Cuba,2020-03-13T23:53:02,4,0,0,21.5218,-77.7812
162,,Kazakhstan,2020-03-13T23:33:06,4,0,0,48.0196,66.9237
163,,Bangladesh,2020-03-13T22:22:02,3,0,0,23.685,90.3563
164,Manitoba,Canada,2020-03-13T13:33:03,3,0,0,53.7609,-98.8139
165,Faroe Islands,Denmark,2020-03-13T11:09:29,3,0,0,61.8926,-6.9118
166,French Polynesia,France,2020-03-13T12:33:03,3,0,0,-17.6797,149.4068
167,,Martinique,2020-03-13T22:22:02,3,0,0,14.6415,-61.0242
168,,Ukraine,2020-03-13T22:22:02,3,1,0,48.3794,31.1656
169,,Aruba,2020-03-13T23:53:03,2,0,0,12.5211,-69.9683
170,,Bolivia,2020-03-13T22:22:02,2,0,0,-16.2902,-63.5887
171,,Burkina Faso,2020-03-13T22:22:02,2,0,0,12.2383,-1.5616
172,,Cameroon,2020-03-13T22:22:02,2,0,0,3.848,11.5021
173,,Congo (Kinshasa),2020-03-13T22:22:02,2,0,0,-4.0383,21.7587
174,,Faroe Islands,2020-03-13T22:22:02,2,0,0,62,-6.7833
175,St Martin,France,2020-03-11T20:53:02,2,0,0,18.0708,-63.0501
176,,Ghana,2020-03-13T22:22:02,2,0,0,7.8167,-1.05
177,,Honduras,2020-03-13T22:22:02,2,0,0,15.2,-86.2419
178,,Monaco,2020-03-13T22:22:02,2,0,0,43.7333,7.4167
179,,Nigeria,2020-03-13T22:22:02,2,0,0,9.082,8.6753
180,,Saint Martin,2020-03-13T22:22:02,2,0,0,18.0667,-63.05
181,Hawaii,US,2020-03-10T03:13:17,2,0,0,21.0943,-157.4983
182,Missouri,US,2020-03-13T11:09:29,2,0,0,38.4561,-92.2884
183,Oklahoma,US,2020-03-10T17:13:25,2,0,0,35.5653,-96.9289
184,Vermont,US,2020-03-12T01:53:03,2,0,0,44.0459,-72.7107
185,Channel Islands,United Kingdom,2020-03-11T20:53:02,2,0,0,49.3723,-2.3644
186,,Andorra,2020-03-13T22:22:02,1,0,1,42.5063,1.5218
187,,Antigua and Barbuda,2020-03-13T22:22:06,1,0,0,17.0608,-61.7964
188,Northern Territory,Australia,2020-03-10T14:13:14,1,0,0,-12.4634,130.8456
189,,Bhutan,2020-03-13T22:22:02,1,0,0,27.5142,90.4336
190,New Brunswick,Canada,2020-03-11T23:13:06,1,0,0,46.5653,-66.4619
191,Saskatchewan,Canada,2020-03-13T13:33:03,1,0,0,52.9399,-106.4509
192,,Cayman Islands,2020-03-13T12:33:03,1,0,0,19.3133,-81.2546
193,Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924
194,,Cote d'Ivoire,2020-03-13T22:22:02,1,0,0,7.54,-5.5471
195,,Ethiopia,2020-03-13T23:33:06,1,0,0,9.145,40.4897
196,Saint Barthelemy,France,2020-03-11T20:53:02,1,0,0,17.9,-62.8333
197,,French Polynesia,2020-03-13T22:22:03,1,0,0,-17.5333,-149.5667
198,,Gabon,2020-03-13T22:22:02,1,0,0,-1,-12
199,,Gibraltar,2020-03-13T22:22:03,1,0,0,36.1317,-5.3517
200,,Guadeloupe,2020-03-13T12:33:03,1,0,0,16.265,-61.551
201,,Guernsey,2020-03-13T22:22:03,1,0,0,49.45,-2.58
202,,Guinea,2020-03-13T15:33:33,1,0,0,9.9456,-9.6966
203,,Guyana,2020-03-13T22:22:03,1,1,0,5,-58.75
204,,Holy See,2020-03-13T22:22:02,1,0,0,41.9029,12.4534
205,,Jordan,2020-03-13T22:22:02,1,0,0,31.24,36.51
206,,Kenya,2020-03-13T22:22:03,1,0,0,-0.0236,37.9062
207,,Liechtenstein,2020-03-13T22:22:02,1,0,0,47.14,9.55
208,,Mongolia,2020-03-13T22:22:02,1,0,0,46.8625,103.8467
209,,Nepal,2020-03-13T22:22:03,1,0,1,28.3949,84.124
210,,Saint Barthelemy,2020-03-13T22:22:03,1,0,0,17.9,-62.8333
211,,Sudan,2020-03-13T15:13:36,1,1,0,12.8628,30.2176
212,,Togo,2020-03-13T22:22:02,1,0,0,8.6195,0.8248
213,,Trinidad and Tobago,2020-03-13T22:22:02,1,0,0,10.6,-61.1
214,Maine,US,2020-03-13T11:09:29,1,0,0,44.6939,-69.3819
215,Mississippi,US,2020-03-12T09:33:03,1,0,0,32.7416,-89.6787
216,Montana,US,2020-03-11T23:13:06,1,0,0,46.9219,-110.4544
217,North Dakota,US,2020-03-12T09:33:03,1,0,0,47.5289,-99.784
218,Wyoming,US,2020-03-12T03:13:09,1,0,0,42.756,-107.3025
219,Gibraltar,United Kingdom,2020-03-11T20:53:02,1,0,1,36.1408,-5.3536
220,From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638
221,Idaho,US,2020-03-10T02:33:04,0,0,0,44.2405,-114.4788
222,West Virginia,US,2020-03-10T02:33:04,0,0,0,38.4912,-80.9545
223,,occupied Palestinian territory,2020-03-11T20:53:02,0,0,0,31.9522,35.2332
